Item,Marca,Precio,Categoria,Web,class_inei,codigo,genero
polo bulldog futbolista,generico,59.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
zapatillas urban turmalina de lona por cuero para mujer en contraste,velez,289.5,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
pantalón slim hombre,dockers,269.9,moda hombre,falabella,PANTALÓN (HOMBRE > 14),312010154,hombre
camisa metropoli casual burdeo ml ,trial,153.3,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
blusa crop manga larga list,sybilla,59.94,moda mujer,falabella,BLUSA (MUJER > 14),312020106,mujer
botín plataforma camel mujer ,gotta,139.0,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
camisa ml robert ii camisero,bronco,143.91,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
vestido corto algodón mujer,mango,159.9,moda mujer,falabella,VESTIDO PARA OCASIONES ESPECIALES (MUJER > 14),312020165,mujer
gorra trucker clasica banda  label society 02,generico,49.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
chaqueta casual hombre con sombrero ,knowmlab,159.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
botines licra mujer  crema,marglo shoes,182.32,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
blusa manga larga mujer,fordan jeans,102.4,moda mujer,falabella,BLUSA (MUJER > 14),312020106,mujer
correa hombre,basement,49.9,correas,falabella,CORREA (HOMBRE >14),313010115,hombre
pantalon denim mujer aines,squeeze,169.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
cárdigan tejido   serena,generico,199.0,moda mujer,falabella,CHOMPA / SUÉTER (MUJER > 14),312020117,mujer
conjunto short polo bebé niña menta,pillin,174.9,ropa de niñas,falabella,CONJUNTITO (MENOR DE 2),312050138,niña
polo de disney    ,forkids,70.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
bvd de algodón rosado,red carrot,15.0,ropa de niñas,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
tripack medias sport ,john holden,24.9,ropa interior y pijamas,falabella,CALCETINES (HOMBRE > 14),312010119,mujer
